"Fecha","Recuperados"
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
2021-01-26,151469
